league,season,team,matches_played,goals_for,goals_against,wins,draws,losses,points,gf_per_game,ga_per_game,gd_per_game,pts_per_game,win_rate,draw_rate,loss_rate,build_up_speed,build_up_passing,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,defense_pressure,defense_aggression,defense_width,cluster
Belgium Jupiler League,2008/2009,Beerschot AC,34,44,42,11,9,14,42,1.2941176470588236,1.2352941176470589,0.0588235294117647,1.2352941176470589,0.3235294117647059,0.2647058823529412,0.4117647058823529,47.0,39.0,38.0,64.0,49.0,45.0,46.0,67.0,0.0
Belgium Jupiler League,2008/2009,Club Brugge KV,34,59,50,18,5,11,59,1.7352941176470589,1.4705882352941178,0.2647058823529412,1.7352941176470589,0.5294117647058824,0.1470588235294117,0.3235294117647059,42.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0,0.0
Belgium Jupiler League,2008/2009,FCV Dender EH,34,44,58,9,8,17,35,1.2941176470588236,1.7058823529411764,-0.4117647058823529,1.0294117647058822,0.2647058823529412,0.2352941176470588,0.5,,,,,,,,,
Belgium Jupiler League,2008/2009,KAA Gent,34,67,42,17,8,9,59,1.9705882352941175,1.2352941176470589,0.7352941176470589,1.7352941176470589,0.5,0.2352941176470588,0.2647058823529412,50.0,37.0,42.0,66.0,34.0,49.0,54.0,52.0,0.0
Belgium Jupiler League,2008/2009,KRC Genk,34,48,51,15,5,14,50,1.411764705882353,1.5,-0.088235294117647,1.4705882352941178,0.4411764705882353,0.1470588235294117,0.4117647058823529,58.0,38.0,30.0,69.0,56.0,36.0,57.0,70.0,0.0
Belgium Jupiler League,2008/2009,KSV Cercle Brugge,34,48,53,14,5,15,47,1.411764705882353,1.5588235294117647,-0.1470588235294117,1.3823529411764706,0.4117647058823529,0.1470588235294117,0.4411764705882353,53.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0,0.0
Belgium Jupiler League,2008/2009,KSV Roeselare,34,33,59,8,6,20,30,0.9705882352941176,1.7352941176470589,-0.7647058823529411,0.8823529411764706,0.2352941176470588,0.1764705882352941,0.5882352941176471,65.0,60.0,50.0,35.0,40.0,65.0,70.0,70.0,1.0
Belgium Jupiler League,2008/2009,KV Kortrijk,34,37,55,9,11,14,38,1.088235294117647,1.6176470588235294,-0.5294117647058824,1.1176470588235294,0.2647058823529412,0.3235294117647059,0.4117647058823529,42.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0,0.0
Belgium Jupiler League,2008/2009,KV Mechelen,34,46,52,12,10,12,46,1.3529411764705883,1.5294117647058822,-0.1764705882352941,1.3529411764705883,0.3529411764705882,0.2941176470588235,0.3529411764705882,52.0,40.0,47.0,53.0,50.0,42.0,51.0,52.0,0.0
Belgium Jupiler League,2008/2009,KVC Westerlo,34,42,38,15,7,12,52,1.2352941176470589,1.1176470588235294,0.1176470588235294,1.5294117647058822,0.4411764705882353,0.2058823529411764,0.3529411764705882,52.0,50.0,57.0,55.0,32.0,48.0,45.0,53.0,2.0
Belgium Jupiler League,2008/2009,RAEC Mons,34,31,57,3,10,21,19,0.9117647058823528,1.6764705882352942,-0.7647058823529411,0.5588235294117647,0.088235294117647,0.2941176470588235,0.6176470588235294,55.0,55.0,55.0,67.0,46.0,46.0,45.0,47.0,1.0
Belgium Jupiler League,2008/2009,RSC Anderlecht,34,75,30,24,5,5,77,2.2058823529411766,0.8823529411764706,1.3235294117647058,2.264705882352941,0.7058823529411765,0.1470588235294117,0.1470588235294117,52.0,51.0,60.0,53.0,47.0,53.0,50.0,61.0,1.0
Belgium Jupiler League,2008/2009,Royal Excel Mouscron,34,42,49,12,8,14,44,1.2352941176470589,1.4411764705882353,-0.2058823529411764,1.2941176470588236,0.3529411764705882,0.2352941176470588,0.4117647058823529,50.0,50.0,50.0,50.0,50.0,45.0,45.0,50.0,2.0
Belgium Jupiler League,2008/2009,SV Zulte-Waregem,34,55,36,16,7,11,55,1.6176470588235294,1.0588235294117647,0.5588235294117647,1.6176470588235294,0.4705882352941176,0.2058823529411764,0.3235294117647059,54.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0,2.0
Belgium Jupiler League,2008/2009,Sporting Charleroi,34,43,48,12,7,15,43,1.2647058823529411,1.411764705882353,-0.1470588235294117,1.2647058823529411,0.3529411764705882,0.2058823529411764,0.4411764705882353,60.0,53.0,48.0,50.0,48.0,39.0,48.0,49.0,2.0
Belgium Jupiler League,2008/2009,Sporting Lokeren,34,40,32,13,12,9,51,1.1764705882352942,0.9411764705882352,0.2352941176470588,1.5,0.3823529411764705,0.3529411764705882,0.2647058823529412,62.0,52.0,42.0,50.0,62.0,45.0,52.0,52.0,2.0
Belgium Jupiler League,2008/2009,Standard de Liège,34,66,26,24,5,5,77,1.9411764705882355,0.7647058823529411,1.1764705882352942,2.264705882352941,0.7058823529411765,0.1470588235294117,0.1470588235294117,54.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0,1.0
Belgium Jupiler League,2008/2009,Tubize,34,35,77,7,6,21,27,1.0294117647058822,2.264705882352941,-1.2352941176470589,0.7941176470588235,0.2058823529411764,0.1764705882352941,0.6176470588235294,,,,,,,,,
Belgium Jupiler League,2009/2010,Beerschot AC,28,30,43,9,8,11,35,1.0714285714285714,1.5357142857142858,-0.4642857142857143,1.25,0.3214285714285714,0.2857142857142857,0.3928571428571428,47.0,39.0,38.0,64.0,49.0,45.0,46.0,67.0,0.0
Belgium Jupiler League,2009/2010,Club Brugge KV,28,52,33,17,6,5,57,1.8571428571428568,1.1785714285714286,0.6785714285714286,2.0357142857142856,0.6071428571428571,0.2142857142857142,0.1785714285714285,42.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0,0.0
Belgium Jupiler League,2009/2010,KAA Gent,28,49,30,14,7,7,49,1.75,1.0714285714285714,0.6785714285714286,1.75,0.5,0.25,0.25,50.0,37.0,42.0,66.0,34.0,49.0,54.0,52.0,0.0
Belgium Jupiler League,2009/2010,KRC Genk,28,33,31,8,10,10,34,1.1785714285714286,1.1071428571428572,0.0714285714285714,1.2142857142857142,0.2857142857142857,0.3571428571428571,0.3571428571428571,58.0,38.0,30.0,69.0,56.0,36.0,57.0,70.0,0.0
Belgium Jupiler League,2009/2010,KSV Cercle Brugge,28,45,40,11,5,12,38,1.6071428571428572,1.4285714285714286,0.1785714285714285,1.3571428571428572,0.3928571428571428,0.1785714285714285,0.4285714285714285,53.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0,0.0
Belgium Jupiler League,2009/2010,KSV Roeselare,28,29,58,4,6,18,18,1.0357142857142858,2.071428571428572,-1.0357142857142858,0.6428571428571429,0.1428571428571428,0.2142857142857142,0.6428571428571429,65.0,60.0,50.0,35.0,40.0,65.0,70.0,70.0,1.0
Belgium Jupiler League,2009/2010,KV Kortrijk,28,39,30,12,9,7,45,1.3928571428571428,1.0714285714285714,0.3214285714285714,1.6071428571428572,0.4285714285714285,0.3214285714285714,0.25,42.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0,0.0
Belgium Jupiler League,2009/2010,KV Mechelen,28,36,46,12,3,13,39,1.2857142857142858,1.6428571428571428,-0.3571428571428571,1.3928571428571428,0.4285714285714285,0.1071428571428571,0.4642857142857143,52.0,40.0,47.0,53.0,50.0,42.0,51.0,52.0,0.0
Belgium Jupiler League,2009/2010,KVC Westerlo,28,28,34,8,8,12,32,1.0,1.2142857142857142,-0.2142857142857142,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.4285714285714285,52.0,50.0,57.0,55.0,32.0,48.0,45.0,53.0,2.0
Belgium Jupiler League,2009/2010,RSC Anderlecht,28,62,20,22,3,3,69,2.2142857142857144,0.7142857142857143,1.5,2.4642857142857144,0.7857142857142857,0.1071428571428571,0.1071428571428571,52.0,51.0,60.0,53.0,47.0,53.0,50.0,61.0,1.0
Belgium Jupiler League,2009/2010,SV Zulte-Waregem,28,39,32,10,11,7,41,1.3928571428571428,1.1428571428571428,0.25,1.4642857142857142,0.3571428571428571,0.3928571428571428,0.25,54.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0,2.0
Belgium Jupiler League,2009/2010,Sint-Truidense VV,28,35,35,12,6,10,42,1.25,1.25,0.0,1.5,0.4285714285714285,0.2142857142857142,0.3571428571428571,52.0,55.0,52.0,55.0,47.0,32.0,40.0,41.0,2.0
Belgium Jupiler League,2009/2010,Sporting Charleroi,28,28,45,5,8,15,23,1.0,1.6071428571428572,-0.6071428571428571,0.8214285714285714,0.1785714285714285,0.2857142857142857,0.5357142857142857,60.0,53.0,48.0,50.0,48.0,39.0,48.0,49.0,2.0
Belgium Jupiler League,2009/2010,Sporting Lokeren,28,22,54,5,3,20,18,0.7857142857142857,1.9285714285714288,-1.1428571428571428,0.6428571428571429,0.1785714285714285,0.1071428571428571,0.7142857142857143,62.0,52.0,42.0,50.0,62.0,45.0,52.0,52.0,2.0
Belgium Jupiler League,2009/2010,Standard de Liège,28,38,34,10,9,9,39,1.3571428571428572,1.2142857142857142,0.1428571428571428,1.3928571428571428,0.3571428571428571,0.3214285714285714,0.3214285714285714,54.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0,1.0
Belgium Jupiler League,2010/2011,Beerschot AC,30,24,40,5,11,14,26,0.8,1.3333333333333333,-0.5333333333333333,0.8666666666666667,0.1666666666666666,0.3666666666666666,0.4666666666666667,47.0,39.0,38.0,64.0,49.0,45.0,46.0,67.0,0.0
Belgium Jupiler League,2010/2011,Club Brugge KV,30,60,35,16,5,9,53,2.0,1.1666666666666667,0.8333333333333334,1.7666666666666666,0.5333333333333333,0.1666666666666666,0.3,42.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0,0.0
Belgium Jupiler League,2010/2011,KAA Gent,30,59,42,17,6,7,57,1.9666666666666663,1.4,0.5666666666666667,1.9,0.5666666666666667,0.2,0.2333333333333333,50.0,37.0,42.0,66.0,34.0,49.0,54.0,52.0,0.0
Belgium Jupiler League,2010/2011,KAS Eupen,30,28,50,5,8,17,23,0.9333333333333332,1.6666666666666667,-0.7333333333333333,0.7666666666666667,0.1666666666666666,0.2666666666666666,0.5666666666666667,50.0,55.0,50.0,55.0,55.0,50.0,50.0,55.0,1.0
Belgium Jupiler League,2010/2011,KRC Genk,30,64,27,19,7,4,64,2.1333333333333333,0.9,1.2333333333333334,2.1333333333333333,0.6333333333333333,0.2333333333333333,0.1333333333333333,58.0,38.0,30.0,69.0,56.0,36.0,57.0,70.0,0.0
Belgium Jupiler League,2010/2011,KSV Cercle Brugge,30,33,34,11,6,13,39,1.1,1.1333333333333333,-0.0333333333333333,1.3,0.3666666666666666,0.2,0.4333333333333333,53.0,43.0,52.0,58.0,42.0,59.0,47.0,62.0,0.0
Belgium Jupiler League,2010/2011,KV Kortrijk,30,36,39,11,5,14,38,1.2,1.3,-0.1,1.2666666666666666,0.3666666666666666,0.1666666666666666,0.4666666666666667,42.0,47.0,37.0,67.0,30.0,46.0,45.0,52.0,0.0
Belgium Jupiler League,2010/2011,KV Mechelen,30,34,30,13,9,8,48,1.1333333333333333,1.0,0.1333333333333333,1.6,0.4333333333333333,0.3,0.2666666666666666,52.0,40.0,47.0,53.0,50.0,42.0,51.0,52.0,0.0
Belgium Jupiler League,2010/2011,KVC Westerlo,30,41,40,11,8,11,41,1.3666666666666667,1.3333333333333333,0.0333333333333333,1.3666666666666667,0.3666666666666666,0.2666666666666666,0.3666666666666666,52.0,50.0,57.0,55.0,32.0,48.0,45.0,53.0,2.0
Belgium Jupiler League,2010/2011,Lierse SK,30,26,58,4,12,14,24,0.8666666666666667,1.9333333333333331,-1.0666666666666669,0.8,0.1333333333333333,0.4,0.4666666666666667,69.0,58.0,56.0,52.0,61.0,38.0,49.0,65.0,1.0
Belgium Jupiler League,2010/2011,RSC Anderlecht,30,58,20,19,8,3,65,1.9333333333333331,0.6666666666666666,1.2666666666666666,2.1666666666666665,0.6333333333333333,0.2666666666666666,0.1,52.0,51.0,60.0,53.0,47.0,53.0,50.0,61.0,1.0
Belgium Jupiler League,2010/2011,SV Zulte-Waregem,30,39,41,7,12,11,33,1.3,1.3666666666666667,-0.0666666666666666,1.1,0.2333333333333333,0.4,0.3666666666666666,54.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0,2.0
Belgium Jupiler League,2010/2011,Sint-Truidense VV,30,20,51,8,5,17,29,0.6666666666666666,1.7,-1.0333333333333334,0.9666666666666668,0.2666666666666666,0.1666666666666666,0.5666666666666667,52.0,55.0,52.0,55.0,47.0,32.0,40.0,41.0,2.0
Belgium Jupiler League,2010/2011,Sporting Charleroi,30,20,54,4,7,19,19,0.6666666666666666,1.8,-1.1333333333333333,0.6333333333333333,0.1333333333333333,0.2333333333333333,0.6333333333333333,60.0,53.0,48.0,50.0,48.0,39.0,48.0,49.0,2.0
Belgium Jupiler League,2010/2011,Sporting Lokeren,30,43,36,13,11,6,50,1.4333333333333331,1.2,0.2333333333333333,1.6666666666666667,0.4333333333333333,0.3666666666666666,0.2,62.0,52.0,42.0,50.0,62.0,45.0,52.0,52.0,2.0
Belgium Jupiler League,2010/2011,Standard de Liège,30,50,38,15,4,11,49,1.6666666666666667,1.2666666666666666,0.4,1.6333333333333333,0.5,0.1333333333333333,0.3666666666666666,54.0,62.0,55.0,58.0,60.0,45.0,54.0,52.0,1.0
Belgium Jupiler League,2011/2012,Beerschot AC,30,45,51,9,9,12,36,1.5,1.7,-0.2,1.2,0.3,0.3,0.4,47.0,39.0,38.0,64.0,49.0,45.0,46.0,67.0,0.0
Belgium Jupiler League,2011/2012,Club Brugge KV,30,51,32,19,4,7,61,1.7,1.0666666666666669,0.6333333333333333,2.033333333333333,0.6333333333333333,0.1333333333333333,0.2333333333333333,42.0,45.0,42.0,57.0,47.0,51.0,50.0,57.0,0.0
Belgium Jupiler League,2011/2012,KAA Gent,30,63,35,17,5,8,56,2.1,1.1666666666666667,0.9333333333333332,1.8666666666666667,0.5666666666666667,0.1666666666666666,0.2666666666666666,50.0,37.0,42.0,66.0,34.0,49.0,54.0,52.0,0.0
Belgium Jupiler League,2011/2012,KRC Genk,30,60,44,13,7,10,46,2.0,1.4666666666666666,0.5333333333333333,1.5333333333333334,0.4333333333333333,0.2333333333333333,0.3333333333333333,58.0,38.0,30.0,69.0,56.0,36.0,57.0,70.0,0.0
